City,Place,Review,Rating,Name,Date,Raw_Review
Agartala,Fourteen Goddess Temple,temple fourteen gods goddessess called chaturdasha devata worshiped deities ceremoniously worshiped kharchi puja religious centre aboriginal tribes tripura kokborok language good place observe ethnic tradtional cultural diversity,8.0,Anonymous,,"In this temple, fourteen Gods and Goddessess, together called the Chaturdasha Devata, are worshiped (these deities are ceremoniously worshiped during Kharchi Puja). It is the religious centre of aboriginal tribes of Tripura ( having Kokborok language). A good place to observe ethnic and tradtional/cultural diversity."
Agartala,Ujjayanta Palace,royal palace turned museum nice mahal exhibiting traditional culture tripura museum nice impressed museum u glimpse culture tripura entire north eastern states visit,8.0,Anonymous,,This royal palace is turned into a museum. Nice Mahal exhibiting the traditional culture of Tripura. Museum is nice . I am more impressed due to museum give u a glimpse of culture of not only Tripura but also entire North Eastern states. Please visit...
Agartala,Baramura Eco Park,nice park khowai dist tripura cover park easily hours entry fee rs sitting arrangement huge improvement required making attracting wooden bridge main entry gate,8.0,Anonymous,,Nice park in khowai dist of Tripura. You can cover this park easily in about 02 hours. Entry fee Rs 10 only. Some sitting arrangement are there but huge improvement is required for making it more attracting. One wooden bridge after the main entry gate...
Agartala,Benuban Vihar,nice surroundings vegetation alive place beauty air place crowded park,8.0,Anonymous,,"Nice surroundings full of vegetation and alive place, beauty is in the air of the place, crowded park"
Agartala,Neermahal Palace,palace renovation visit palace beautiful lake surrounding kept clean time visit really impressed,8.0,Anonymous,,"palace is under renovation when we visit. although the palace itself is beautiful, the lake and surrounding is not at all kept clean at the time of our visit. not really impressed."
Agartala,Benu Ban Bihari Temple,good places visit town stress free day nice beautiful ambience holiness air,8.0,Anonymous,,"One of the good places to visit in town on a stress free day, had nice and beautiful ambience with holiness in the air."
Agartala,Tripura State Tribal Museum,good presentation information really appreciated travelling ne india smaal kept museum best team,8.0,Anonymous,,"Good presentation of information, which I really appreciated after travelling around NE India. Smaal but well kept museum. All the best to the team."
Agartala,Jagannath Temple,small beautiful temple heart city neat clean maintained popular local people,8.0,Anonymous,,"Small but beautiful temple at the heart of city. Neat and clean, well maintained. Popular within local people."
Agartala,Heritage Park,agartala city attraction heritage park love morning walk place miniature attraction tripura visit visit agartala,8.0,Anonymous,,"Agartala as a city have very few attraction, but Heritage Park is one of them. If you love morning walk this is the place> It also has miniature of other attraction of Tripura. So must visit during next visit to Agartala."
Agartala,Gedumian Mosque,mosques structure really nice visit holy place worship really clean,8.0,Anonymous,,"Though all mosques have same structure, this one is really nice to visit, a holy place to worship and really clean"
Agartala,Gedu Miar Maszid,carrying tradition long ago mosque holy place worship fro muslims clean nice surroundings,8.0,Anonymous,,"Carrying on the tradition from long ago the mosque is the holy place to worship fro the muslims, clean and nice surroundings."
Agartala,Trishna Wildlife Sanctuary,love nature visit accessible agartala return day birding lucky seeing interesting birds saw time,8.0,Anonymous,,"Love nature, must visit. Accessible from Agartala and can return back same day. Birding is what I did and was lucky on seeing some interesting birds that I saw for the first time."
Agartala,"ISKCON, Math Chowmuhani",agartala went iskcon temple temples neat clean beautiful agartala temple small located market area entrance colourful impressive inside temple,8.0,Anonymous,,"While in Agartala I went to this ISKCON Temple as I have been to these temples as these are neat, clean and beautiful. Agartala temple is small and is located in the market area. Its entrance is colourful and impressive. Inside of the temple has..."
Agartala,Gondacherra Wildlife Sanctuary,nice place quite lush green locality amazing fauna various varieties plants,8.0,Anonymous,,Nice place is quite and lush green locality and full of amazing fauna and various varieties of plants
Agartala,Kalyan Sagar Lake,beautiful lake tripurasundari temple complex udaipur lovely lake abounds fish people love feeding fish seeing jostling food crumbs lovely beautiful lake look visit temple complex,8.0,Anonymous,,This beautiful lake is part of Tripurasundari temple complex at Udaipur. This is a lovely lake which abounds in fish. People love feeding fish and seeing them jostling for food crumbs. Lovely beautiful lake. Must look at it if you visit the temple complex.
Agatti,Lakshadweep Tour Package - Day Tours,hello dr biju thanks great words really great know enjoyed tour choose profession happy travelers create world help world,8.0,Anonymous,,"Hello Dr Biju,

Thanks for the great words, really great to know that you had enjoyed the tour with us. I choose this profession to see happy travelers, we cant create a world but we can help other so see around the world and myself..."
Agatti,Island of Thinnakara,nature thinnakara paradise wrong sun hot sand hot water coconut right place shadow blue green perfect color water people feel like island metters,8.0,Anonymous,,"the nature in Thinnakara is just paradise ! nothing wrong : sun not too hot, sand not too hot, water 30°, coconut just in the right place for shadow, blue-green perfect color of water, few people, you feel like alone in the island few metters..."
Agatti,Lakshadweep Yathra Holidays,manager claimed ensure comfort trip alloted poor quality non ac bus breakfast okay served quite late reaching attraction sites pay pockets tickets,8.0,Anonymous,,"Although the manager claimed that he would ensure full comfort during the trip, we were alloted a poor-quality non-ac bus. The breakfast was okay but was served quite late. On reaching the attraction sites, we had to pay from our own pockets for the tickets...."
Agonda,Rock Formations,rock formations located extreme southern beach extremely beautiful went early morning beach peaceful excellent,8.0,Anonymous,,These rock formations are located at the extreme southern side of the beach. Extremely beautiful. We went there early morning and the beach was very peaceful. Excellent!
Agonda,Agonda Beach,south serene beautiful agonda beach best beaches south goa limited beaches stay right beach beautiful beautiful resorts shacks,8.0,Anonymous,,"South go is serene and beautiful. Agonda beach is one of the best beaches of south goa and one of the limited beaches where you can get to stay right at the beach. Its beautiful, full of beautiful resorts and shacks most of which are..."
Agonda,Purnam Yoga Teacher Training in Goa,travelled agonda nice quiet atmosphere come purnam yoga school yoga retreat days great experience come days yoga teacher,8.0,Anonymous,,We Travelled to agonda for a nice and quiet atmosphere and we come across with purnam yoga school and we did the yoga retreat for 10 days and its a great experience for us. we will come back and do the 25 days Yoga Teacher...
Agonda,Om Ayurvedic Massage Center,hour body massage divine highly recommended professional love try massages offer center meridian massage deep tissue massage wonderful range massages,8.0,Anonymous,,"I had the one hour body massage, it was divine !
Highly recommended.  Very professional.
Love / will try some of the other massages which they offer at their center ( meridian massage, deep tissue massage, ... )
They have a wonderful range of massages...."
Agonda,Partagal Matha Temple,good visit divine places holidays feel lot peace partagal matha temple situated banks kushavati river agoda,8.0,Anonymous,,"its good to visit divine places when you are holidays and to feel lot of peace.Partagal Matha Temple is situated on the banks of Kushavati river , Agoda."
Agonda,Krishna Ayurveda Massage Centre,radha best massages town super helpful arranged scooter pick ride young girl gave massage professional extremely skilled felt,8.0,Anonymous,,Radha has the best massages in town. She is super helpful as well; she arranged for a scooter to pick me up and give me a ride back. The young girl who gave me the massage was very professional and extremely skilled. I felt my...
Agonda,Go Kayak,wait days kayaking waves strong allowed kayak days later got chance kayak early morning amazing experience kayak goa,8.0,Anonymous,,Had to wait for 2 days to get into a kayaking. As the waves were strong we were not allowed to kayak. But  2 days later we got the chance to kayak early in the morning. It was an amazing experience to kayak in goa.
Agonda,Galgibaga Beach,want beautiful quiet beach fantastic swimming greatest cheapest seafood going eat surya café place superb masala fried oysters crabs caught,8.0,Anonymous,,"If you want a beautiful quiet beach, fantastic swimming and the greatest, cheapest seafood you are EVER going to eat this is where you should be! Surya's Café is the place to go for superb masala fried oysters, crabs and whatever else has been caught..."
Agonda,Chapoli Dam,dam located picturesque area extends westward sahyadris mountains known western ghats chapoli lies deep valley hills makes wonderful nature gift great place relaxing rest,8.0,Anonymous,,"The Dam is located in a picturesque area that extends westward from Sahyadris Mountains, also known as Western Ghats. Chapoli lies deep in the valley between hills, which makes this wonderful nature gift a great place for relaxing rest"
Agonda,Fluidsymmetry,daniel wonderful man puts heart work really enjoyed experience certainly return session,8.0,Anonymous,,"Daniel is a wonderful man, who puts his heart into his work. I really enjoyed the experience and would certainly return for another session."
Agonda,Bio Veda Ayurvedic Beach Resort Spa,went diffrent ayurvedic treatments week skilled nice personal likes lot good prices,8.0,Anonymous,,"We went for diffrent ayurvedic treatments during our week. Very skilled and nice personal, we likes it a lot!
Good prices"
Agonda,AUGUSTIN Studio & Gallery,thank review best richard,8.0,Anonymous,,Thank you for the review! All the best yours Richard
Agonda,Animal Shelter Agonda,hi larissa thanks review brendy shelter manager truly amazing animals wonderful staff volunteers appreciate support donation,8.0,Anonymous,,"Hi larissa,
Thanks for your review. Brendy our shelter manager, is  truly amazing with the animals. We have wonderful staff, and volunteers and appreciate your support and donation."
Agonda,Aloha Surf India,aloha surf india great hosts kinds surfers pro beginner chose intermediate course learnt basic surfing velu great instructor understood exactly,8.0,Anonymous,,"Aloha Surf India are great hosts for all kinds of surfers - whether you're a pro or a beginner.
I chose for an intermediate course with them (since i have learnt basic surfing already) and Velu has been a great instructor. He understood exactly where..."
Agonda,Yoga Leela Agonda Rama Yoga Center,met rama february north goa candolim year moved agonda reasons going south practice rama positive amazing person incredible,8.0,Anonymous,,"I met Rama in February 2018 in the north of Goa in Candolim. This year he moved to Agonda, so this was one of the reasons for going south to get back on his practice. Rama is a very positive and amazing person with incredible..."
Agra,Agra Art Gallery,beautiful unique gallery come world customer service great quality wonderful value money visit especially owner people working beautiful warm souls want,8.0,Anonymous,,"One of the most beautiful and unique gallery i have come across in the world.
Customer Service is great.
Quality is wonderful.Value for money.
Must Visit.
Especially, The owner & all other people working are beautiful and warm souls.
If you want to take back..."
Agra,Wildlife SOS,seeing amazing work wildlife sos fantastic dedicated making sure bears best possible life horrific dancing bear knowing animal organisations managed,8.0,Anonymous,,"Seeing the amazing work that Wildlife SOS has done and is doing is fantastic.They are all dedicated in making sure the bears have the best possible life after their horrific one as a dancing bear. Knowing that they, along with other animal organisations, have managed..."
Agra,Taj Mahal,stunning magical beautiful lovely wonders world dress modestly expect sweat hiring local guide worthy investment group photos,10.0,Anonymous,,"Stunning. Magical. Beautiful. Lovely. One of the wonders of the world. 

Dress modestly, but expect to sweat. Hiring a local guide is a worthy investment since you have someone to take all of your group photos for you."
Agra,Agra Fort,agra really interesting glimpse people india lived hundreds years ago beautiful views taj mahal fort albeit taj exist forts history,8.0,Anonymous,,"A must see when in Agra. Really interesting to get a glimpse of how the people of India lived hundreds of years ago. 

Beautiful views of the Taj Mahal throughout the fort, albeit the Taj did not exist for much of the forts history.

A..."
Agra,Tomb of Itimad-ud-Daulah,beautiful monuments agra inlay work fantastic called baby taj dont miss monuments agra,8.0,Anonymous,,"It is another beautiful monuments in Agra and inlay work is fantastic and even we called it as Baby Taj. 
Dont miss to see this monuments once you are in Agra"
Agra,Touseef International,excellent service great quality amazing products handicrafts suggest buy products good price wide range traditional modern handicrafts,8.0,Anonymous,,Excellent service great quality it was amazing products of handicrafts We will suggest you to buy products with good price and wide range of traditional and modern handicrafts.
Agra,U.P Handicrafts Development Center,like directed cabbie went pinch salt ultimately good free choose want actually buy stuff took time,8.0,Anonymous,,"Like many others, we were also directed here by our cabbie. We went in with a pinch of salt, but ultimately it was good.

You are always free to choose whether you want to actually buy the stuff there or not. We took our time,..."
Agra,Anguri Bagh,great view thanks authorities maintenance grass fountains working great place,8.0,Anonymous,,"Though this would have been a great view but thanks to the authorities, there is no maintenance. No grass, fountains not working. Please do something to this great place."
Agra,Tomb Of John Russell Colvin,tomb british prominently placed centre fort ok special nice surroundings,8.0,Anonymous,,"Tomb of one of the British, prominently placed in the centre of the fort. Ok but nothing special in itself. Nice surroundings."
Agra,Chini Ka Rauza Mausoleum,delightful site work progress explore tombs like renovation fixing colors calligraphy beautiful needs restoration work worth visit setting river beautiful,8.0,Anonymous,,"A delightful site, work in progress  Go to explore what the tombs were like before renovation and fixing.  Colors and calligraphy, beautiful.  Needs restoration work, but well worth the visit.  Setting on the river is beautiful."
Agra,Balkeshwar Mandir,visited place times feels like time peaceful place like hard days come want spend time peace lap nature holy temple,8.0,Anonymous,,"Have visited this place a hundred times but still it feels like the first time, the peaceful place like this is hard to find now a days. Come here if you want to spend time in Peace and lap of nature among the holy temple..."
Agra,Bageshwarnath Temple,bageshwarnath great holy temple famous great place pray old,8.0,Anonymous,,Bageshwarnath is a great holy temple. It's not very famous but great place for pray. This is very old.
Agra,Chhatri of Raja Jaswant Singh,place historical importance place maintained certainly wish authorities care place,8.0,Anonymous,,"though a place of historical importance,this place is not well maintained. I would certainly wish the authorities to take care of this place"
Agra,Army School,perfect place child good person terms knowledge atticates perfect blend kudos,8.0,Anonymous,,"A perfect place for your child to become a good person in terms of knowledge as well as atticates.
Perfect blend of both. 
Kudos..."
Agra,Bateshwar Temples,place friends liberally liked kind loneliness secluded place used temples exist visited loved watching different sized turtles,8.0,Anonymous,,Was at this place with one of my friends. Liberally liked kind of loneliness of this secluded place. There used to be 101 temples but now only about 20 of them exist. We just visited some of them and I loved watching different sized turtles...
Agumbe,Sunset Point,agumbe famous sunset point crowded weekends holidays views good lucky sunset amazing prefer kundadri agumbe happening travel route,8.0,Anonymous,,"Agumbe has become very famous and sunset point would be very crowded on weekends/holidays. The views are good & if you are lucky sunset would be amazing, but I prefer Kundadri over Agumbe :) If you are happening to travel on that route, you can..."
Agumbe,Koodlu Theertha Falls,falls distance agumbe hire car conveyance short trek minutes required fantastic falls great height wind keeps changing intensity falls,8.0,Anonymous,,The falls are at a distance from Agumbe. Hire a car or conveyance. A short trek of around 45-60 minutes is required. Fantastic falls from great height. The wind keeps changing the intensity of the falls
Agumbe,Onake Abbi Falls,small beautiful photo perfect waterfall reached long stroll footsteps near coorg valley visited cloudy day bit humid winters great visit,8.0,Anonymous,,"A small but beautiful and photo perfect waterfall which can be reached after a long stroll down the footsteps in near Coorg valley. Visited there on a cloudy day so was a bit humid, else in winters it should be a great visit to the..."
Agumbe,Agumbe Ghat,agumbe untouched nature north karnataka km bangalore beautiful places nature lovers view points sunset point waterfalls agumbe village houses famous tv serial malgudi days shot house,8.0,Anonymous,,"Agumbe a untouched nature, in North Karnataka,about 370km from Bangalore.This is one of the beautiful places for nature lovers.There are a few view points,the sunset point, and waterfalls. Agumbe is a village with very few houses.The famous TV serial Malgudi days was shot here.The house..."
Agumbe,Agumbe Rainforest Research Station,amazing place enjoy sightseeing photography entertainment food wildlife best driving guard section enjoying family friends,8.0,Anonymous,,"It's a amazing place to enjoy,  sightseeing,  photography,  entertainment,  food's,  wildlife,  and also a best for driving in the guard section...... Enjoying with both family and also friends!!!"
Agumbe,Jogigundi Falls,visit place cold water yeh kinda risky elders shud care kids yeh nice enjoy worth,8.0,Anonymous,,"must visit place, very cold water and yeh it's kinda risky, elders shud take care of there kids and yeh nice to enjoy and worth"
Agumbe,Barkana Falls,mangalore best trekking waterfalls need permission rfo agumbe started mangalore reached agumbe mangalor e padubidre karkala agumbe got fresh mallaya residency,8.0,Anonymous,,"Around Mangalore, this is the best trekking waterfalls.
We need to take permission from RFO , from Agumbe.

We started from Mangalore around 6am, we reached Agumbe 8:30am ( Mangalor e -> Padubidre -> Karkala -> Agumbe). We got fresh up at  Mallaya Residency (..."
Agumbe,Agumbe Sunset View Point,went agumbe friends bike ride memorable experience road agumbe amazing view mesmerizing sunset point really amazing experience visit,8.0,Anonymous,,I went to Agumbe with my friends on a bike ride and it was a memorable experience. The road to Agumbe is amazing and the view is mesmerizing. Sunset point is really an amazing experience to have. Must visit at least once.
Ahmedabad,Vaishnodevi Temple,good place visit travel j k vaishodevi temple j k gives perfect picture temple maintained tourist spot,8.0,Anonymous,,Good place to visit for those who can't travel to J & K. I have never been to Vaishodevi Temple in J & K but it gives me perfect picture of temple. Well maintained tourist spot.
Ahmedabad,Vikram A Sarabhai Community Science Centre,happen way iscon temple thought exploring amazing hats isro team place maintained dedicated team explain entire concepts exhibition team friendly answers,8.0,Anonymous,,Just happen to find it on the way to ISCON temple and thought of exploring. Its amazing. Hats off to ISRO team. Place is well maintained. There is a dedicated team to explain entire concepts of this exhibition. Team is very friendly and answers all...
Ahmedabad,Vikram Sarabhai Space Exhibition,vikram sarabhai space exhibition best place know space role isro isro great achievements gained india field space science technology displayed theatre major attraction displays awesome,8.0,Anonymous,,Vikram Sarabhai Space Exhibition is the best place to know about space and the role of ISRO. ISRO has great Achievements gained by India in the field of Space Science and Technology. Is displayed the 3D theatre is a major attraction. The displays are awesome....
Ahmedabad,Adalaj Step-well,miss place nicely maintained photogenic great selfies place makes appreciate piped water homes fabulous architecture lawns exteriors better maintained,8.0,Anonymous,,"A do not miss place. Nicely maintained, and very photogenic. You can get great selfies in this place. Makes you appreciate piped water in homes, that much more. Fabulous architecture, though the lawns and exteriors could be better maintained."
Ahmedabad,Acropolis Mall,went watch movie kids pvr acropolis cinema contains cinema rooms clean peaceful good sound mall known franchises food clothing footwear shop called brand store,8.0,Anonymous,,"We went to watch a movie with kids to pvr acropolis cinema. It contains 2 cinema rooms.  It's clean, peaceful and with good sound system. 
The mall has most of well known franchises of food, clothing and footwear. 
There is a shop called brand store,..."
Ahmedabad,10 Acres Mall,nice place limited shopping options event entertainment option good cinema maintain dirty wash rooms cinema suggest choose entertainment option,8.0,Anonymous,,"nice place with limited shopping options , event entertainment option is not good cinema they have to maintain dirty wash-rooms in cinema i suggest you should have to choose other entertainment option"
Ahmedabad,Vastrapur Lake,vastrapur lake actually lake bigger version pond surrounded lot greenery popular hangout place couples local public family children amazing tourist point view small separate,8.0,Anonymous,,"Vastrapur Lake is not actually lake. Its a bigger version of ""POND""surrounded by lot of greenery. Its a popular hangout place for couples, and local public with family & children. Nothing amazing about it from a tourist point of view. There is a small separate..."
Ahmedabad,Vastrapur Adventure Park,hear amdavad amdavadi lovers visit joy street food horse tanga riding small garden,8.0,Anonymous,,"Its hear of amdavad where all amdavadi lovers must visit, full of joy with many street food , horse , tanga riding and small take with garden."
Ahmedabad,Utensils Museum,interesting unique collection different utensils unusual ones makes museum attractive traditional set adds beauty context collection visiting vishalla restaurant combined lunch dinner,8.0,Anonymous,,"An interesting and unique collection of different utensils. many unusual ones, that makes the museum attractive. The traditional set-up adds beauty and context to the collection. One can see it while visiting Vishalla restaurant and can be combined with lunch or dinner as it is..."
Ahmedabad,Toy Museum,beautiful years old heritage haveli know jethabhai ni haveli set toy museum interesting toys heritage good place kids,8.0,Anonymous,,"It's a beautiful 400 years old heritage haveli which is also know as Jethabhai Ni Haveli,  in which they have set up this toy museum . 

It has some interesting toys from our heritage. A good place for kids."
Ahmedabad,Teen Darwaza,place great street shopping decent n cheap clothes children utensils daily use items special items thing available good excellent,8.0,Anonymous,,This place is great for street shopping. From decent n cheap clothes for children to utensils. From daily use items to special items every thing is available. Good. Excellent.
Ahmedabad,Sumthing LSE,famous antic items good collection reasonable cost sales men information product best training,8.0,Anonymous,,This is  very  famous for  antic items and you  would get a  very  good collection and at reasonable cost. The sales  men  here would give  you all the  information about the product and they have the best training too. Just  get in and  you  can...
Ahmedabad,Swapna Srushti Water Park,theme based water park crowded summer season kindly proper bath visit water park infection disease spread crowded area rides good attractive real fun good,8.0,Anonymous,,This is theme based water park which is most crowded in summer season. So kindly take proper bath after visit of this water park as infection disease spread in crowded area. Rides are good and attractive. Have real fun here. this is one of good...
Ahmedabad,Sultan Ahmed Shah Mosque,beautiful mosque situated near lal darwaza old city ahmedabad crowded area day time better visit early morning worth visiting interested heritage sites historical places,8.0,Anonymous,,"Beautiful mosque situated near Lal Darwaza, old city ahmedabad.  Its a very crowded area during the day time, therefore its better to visit early morning/ Worth visiting for those who are interested in heritage sites and historical places"
Ahmedabad,Sri Balaji Temple,shri tirupati balaji temple located gandhinagar sarkhej highway temple dedicated lord sri venkateswaraswamy nice temple small campus temple architecture work like south indian temple big statue entry point temple make,8.0,Anonymous,,Shri Tirupati Balaji Temple is located on Gandhinagar Sarkhej Highway. Temple is dedicated to Lord Sri Venkateswaraswamy.  It is very nice temple with small campus. Temple architecture work as like South Indian temple. There is two big Statue on Entry point of Temple which make...
Ahmednagar,Ahmednagar Fort,visit history lovers leaders block great leaders india detained india freedom movement maintained kept open public view parts big fort used army big open,8.0,Anonymous,,Must visit for history lovers. T he Leaders block in which the great leaders of India were detained during India's Freedom movement is well maintained and kept open for public view. The other parts of the big fort is used by army. The big open...
